# ID  glon  glat  vrad fe_h mg_fe o_fe 
2M17142403-2943458         -4.41061   5.24496 -199.828  0.174  0.180  0.126 
2M17142450-2408450          0.18766   8.46033  105.489  0.372  0.071  0.027 
2M17142460-2513220         -0.70390   7.84317  165.143 -1.050  0.338  0.323 
2M17142567-2421401          0.01171   8.33353   78.496 -0.661  0.259  0.278 
2M17142585-2414391          0.10905   8.39988  -84.599 -0.524  0.318  0.262 
2M17142785-2351211          0.43563   8.61560  -88.251 -0.775  0.327  0.243 
2M17142795-3044439         -5.23311   4.64391  -34.167  0.283  0.059  0.016 
2M17142809-2415222          0.10405   8.38605   35.447 -1.085  0.313  0.370 
2M17142923-3037250         -5.13087   4.71095   14.416 -0.410  0.327  0.261 
2M17142958-3024122         -4.95015   4.83773   34.148  0.066  0.011  0.015 
2M17142994-2455217         -0.44400   7.99869  -91.730 -1.131  0.230  0.150 
2M17143223-3026228         -4.97426   4.80894  -19.601 -0.238  0.206  0.209 
2M17143308-3105387         -5.50709   4.42658 -117.516 -0.363  0.303  0.296 
2M17143334-2419487          0.05420   8.32734  -70.244 -1.112  0.349  0.222 
2M17143337-3021451         -4.90882   4.85035 -171.845 -0.350  0.212  0.179 
2M17143361-3020075         -4.88618   4.86537   83.362 -0.629  0.266  0.230 
2M17143420-2409450          0.19516   8.42057    1.440 -0.275  0.259  0.225 
2M17143499-2357555          0.36040   8.53070   -6.637 -0.811  0.320  0.249 
2M17143549-2452283         -0.39200   8.00911  -44.080 -0.693  0.377  0.357 
2M17143558-3013567         -4.79781   4.91934 -153.965 -0.920  0.323  0.313 
2M17143585-2359134          0.34436   8.51566   87.044  0.024  0.191  0.164 
2M17143725-3051015         -5.29942   4.55593 -113.240 -0.559  0.228  0.177 
2M17143766-3055204         -5.35733   4.51297  -89.932  0.521  0.084  0.003 
2M17143846-2442125         -0.24386   8.09784 -112.528  0.076  0.112  0.063 
2M17143859-2424223          0.00272   8.26755   38.681 -0.755  0.282  0.254 
2M17143860-2425432         -0.01586   8.25464  -64.965 -0.941  0.264  0.135 
2M17144024-3114424         -5.61553   4.31807 -139.182 -0.215  0.089  0.080 
2M17144028-2422165          0.03538   8.28226   61.826 -1.693  0.409  0.364 
2M17144229-2444494         -0.27159   8.06101 -200.132 -0.231  0.339  0.238 
2M17144260-2349165          0.49683   8.58922   86.851 -0.973  0.229  0.229 
2M17144309-2420444          0.06276   8.28813   81.101 -0.684  0.312  0.255 
2M17144317-2411170          0.19365   8.37799 -156.774 -1.024  0.365  0.314 
2M17144340-2836187         -3.44857   5.83815  171.891 -0.802  0.408  0.323 
2M17144404-2431552         -0.08959   8.17863  -24.984 -0.466  0.375  0.297 
2M17144452-2457070         -0.43637   7.93681  160.178 -1.033  0.337  0.344 
2M17144654-3008538         -4.70602   4.93593 -256.621 -0.244  0.263  0.289 
2M17144682-2413158          0.17429   8.34774  -23.708 -0.538  0.330  0.281 
2M17144804-3013189         -4.76313   4.88887   16.249 -1.517  0.349  0.310 
2M17144888-3010520         -4.72800   4.91005  102.344 -0.457  0.242  0.234 
2M17144924-2429485         -0.04903   8.18258   18.461 -0.921  0.262  0.201 
2M17144972-3104385         -5.45886   4.38792   20.502  0.375  0.110  0.045 
2M17144978-2427140         -0.01227   8.20544  251.348 -0.911  0.405  0.251 
2M17145128-2454194         -0.38306   7.94251  -70.195 -0.769  0.386  0.292 
2M17145302-2425070          0.02406   8.21552  -97.118  0.283  0.079  0.029 
2M17145407-2454443         -0.38267   7.92989  -49.653 -0.245  0.248  0.240 
2M17145480-2857314         -3.71437   5.59990  -43.708 -0.076  0.254  0.226 
2M17145549-2353357          0.46538   8.50781  -57.103  0.002  0.169  0.122 
2M17145582-2438536         -0.16013   8.07554   69.042 -0.140  0.228  0.254 
2M17145627-2343382          0.60498   8.60002 -238.175 -0.862  0.354  0.369 
2M17145635-3103430         -5.43251   4.37760 -153.150 -0.400  0.330  0.238 
2M17145681-3102444         -5.41826   4.38571 -218.023  0.336  0.081  0.048 
2M17145686-2440154         -0.17667   8.05932   65.727 -0.323  0.277  0.229 
2M17145730-3048227         -5.22164   4.52308 -102.959  0.396  0.063  0.028 
2M17145769-2451561         -0.33609   7.94544  -61.022 -0.574  0.279  0.229 
2M17150078-2844066         -3.51833   5.71122  -25.503 -0.689  0.306  0.265 
2M17150113-2443224         -0.21038   8.01636   26.721  0.253  0.104  0.039 
2M17150214-2412144          0.22204   8.30969   30.082 -0.715  0.324  0.288 
2M17150296-2423503          0.06350   8.19673  -16.924 -1.018  0.285  0.219 
2M17150298-2456444         -0.39085   7.88319   55.592 -0.228  0.254  0.198 
2M17150299-2513213         -0.62004   7.72468 -129.705 -0.966  0.359  0.315 
2M17150399-2431505         -0.04483   8.11732   11.438 -0.527  0.367  0.296 
2M17150531-2753090         -2.81116   6.18759   94.296 -0.068  0.140  0.149 
2M17150574-2400036          0.39844   8.41430  -10.489 -0.182  0.224  0.230 
